attraction_id,city_id,city_nm,attraction_nm,address,theme,rate,longitude,latitude
A60,C01,서울,화곡본동시장,서울 강서구 까치산로 35-0,Shopping,4.91,126.8441295,37.54288484
A61,C01,서울,중부시장,서울 중구 을지로32길 34-0,Shopping,4.908,127.0000756,37.56529129
A62,C01,서울,용문시장,서울 용산구,Shopping,4.907,126.9905778,37.53242743
A63,C01,서울,엄마손쇼핑센터,서울 송파구 가락로 103-0,Shopping,4.905,127.1076013,37.50140348
A64,C01,서울,암사종합시장,서울 강동구 상암로11길 25-0,Shopping,4.904,127.1288208,37.55085885
A65,C01,서울,롯데팩토리아울렛가산점,서울 금천구 벚꽃로 278-0,Shopping,4.902,126.8846349,37.47949312
A66,C01,서울,서울중앙시장,서울 중구 퇴계로85길 22-0,Shopping,4.901,127.0197886,37.56679285
A67,C01,서울,썬프라자,서울 영등포구 신길로 39-0,Shopping,4.899,126.907785,37.49596657
A68,C01,서울,AK&홍대점,서울 마포구 양화로 188-0,Shopping,4.898,126.9264983,37.55774581
A69,C01,서울,SFC몰,서울 중구 세종대로 136-0,Shopping,4.896,126.9782565,37.56842322
A70,C01,서울,황학동주방기구거리,서울 중구,Shopping,4.894,126.9975552,37.56380777
A71,C01,서울,구로시장,서울 구로구 구로동로22길 17-4,Shopping,4.893,126.8856198,37.48963005
A72,C01,서울,봉일시장,서울 관악구 은천로 28-0,Shopping,4.891,126.9383804,37.48592467
A73,C01,서울,공영홈쇼핑,서울 마포구 상암산로 34-0,Shopping,4.89,126.8892399,37.5762102
A74,C01,서울,신평화패션타운,서울 중구 청계천로 298-0,Shopping,4.888,127.0110696,37.56945382
A75,C01,서울,올림픽프라자,서울 송파구 양재대로 1222-0,Shopping,4.887,127.1310632,37.51572764
A76,C01,서울,서울풍물시장,서울 동대문구 천호대로4길 21-0,Shopping,4.885,127.0255029,37.57271319
A77,C01,서울,영등포전통시장,서울 영등포구,Shopping,4.884,126.8962739,37.52636357
